Ring Name,dHf_298,S_inf_298,PubchemCID,SMILES,Source
Cyclopropane (6),27.6,32.1,6351,C1CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclopropene (2),53.7,33.6,123173,C1C=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclobutane (8),26.2,29.8,9250,C1CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclobutene (2),29.8,29,69972,C1CC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclopentane (10),6.3,27.3,9253,C1CCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclopentene (2),5.5,25.8,8882,C1CC=CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclopentadiene (2),6,28,7612,C1C=CC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclohexane (6),0,18.8,8078,C1CCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclohexene (2),1.4,21.5,8079,C1CCC=CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclohexadiene 1[c]3,4.8,,11605,C1CC=CC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclohexadiene 1[c]4,0.5,,12343,C1C=CCC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloheptane (1),6.4,15.9,9265,C1CCCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloheptene,5.4,,12363,C1CCC=CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloheptadiene[c] 1[c]3,6.6,,19969,C1CC=CC=CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloheptatriene 1[c]3[c]5 (1),4.7,23.7,11000,C1C=CC=CC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclooctane (8),9.9,16.5,9266,C1CCCCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
cis-Cyclooctene,6,,638079,C1CCC/C=C\CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
trans-Cyclooctene,15.3,,5463599,C1CCC/C=C/CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclooctatriene 1[c]3[c]5,8.9,,5367249,C1/C=C\C=C/C=C\C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclooctatetraene,17.1,,637866,C\1=C\C=C/C=C\C=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclononane,12.8,,136143,C1CCCCCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
cis-Cyclononene,9.9,,5463153,C1CCC/C=C\CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
trans-Cyctononene,12.8,,5463190,C1CCC/C=C/CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclodecane,12.6,,9267,C1CCCCCCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclododecane,4.4,,9268,C1CCCCCCCCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Spiropentane (4),63.5,67.6,9088,C1CC12CC2,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Bicycloheptadiene,31.6,,18763994,C1CC=CC=C(C1)C2=CC=CCCC2,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Biphenylene,58.8,,9214,C1=CC=C2C(=C1)C3=CC=CC=C23,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
